doc_id	decs_code
biblio-985412	5278
biblio-985412	55130
biblio-985412	12527
biblio-985412	7980
biblio-985412	8901
biblio-985412	51842
biblio-985412	1794
biblio-985412	36448
biblio-985412	10112
biblio-985412	33196
biblio-985412	51835
biblio-985412	38900
biblio-985412	4816
biblio-985412	50224
biblio-985412	28433
biblio-985412	10554
biblio-985412	55586
biblio-985412	27786
biblio-985412	31707
biblio-985412	3675
biblio-985685	56243
biblio-985685	29043
biblio-985685	37723
biblio-985685	470
biblio-985685	1731
biblio-985685	3173
biblio-985685	3961
biblio-985685	29304
biblio-985685	24209
biblio-985685	14993
biblio-985685	7144
biblio-985685	4793
biblio-985685	6812
biblio-985685	3496
biblio-985685	8264
biblio-985685	37730
biblio-985685	10554
biblio-985685	10554
biblio-985685	10530
biblio-985685	28567
biblio-985685	15404
biblio-985685	1901
biblio-968764	8990
biblio-968764	36316
biblio-968764	3490
biblio-968764	5278
biblio-968764	4943
biblio-968764	10112
biblio-968764	30727
biblio-968764	51835
biblio-968764	8035
biblio-968764	28613
biblio-968764	8901
biblio-968764	23896
biblio-968764	11490
biblio-968764	6444
biblio-968764	57842
biblio-977232	1121
biblio-977232	2207
biblio-977232	55394
biblio-977232	51425
biblio-977232	1443
biblio-977232	54353
biblio-977232	13002
biblio-977232	32564
biblio-977232	5924
biblio-977232	28583
biblio-977232	38420
biblio-977232	50338
biblio-977232	15401
biblio-977232	10396
biblio-977232	28584
biblio-977232	2656
biblio-977232	13002
biblio-986131	8324
biblio-986131	13344
biblio-986131	3961
biblio-986131	4675
biblio-986131	5366
biblio-986131	56963
biblio-986131	35111
biblio-986131	5924
biblio-986131	13344
biblio-986131	12527
biblio-986131	15329
biblio-986131	15329
biblio-986131	23916
biblio-986131	15182
biblio-990023	13540
biblio-990023	6652
biblio-990023	21034
biblio-990023	8264
biblio-990023	11594
biblio-990023	54411
biblio-990023	2480
biblio-989847	12967
biblio-989847	8678
biblio-989847	50224
biblio-989847	12793
biblio-989847	33182
biblio-989847	51609
biblio-989847	5278
biblio-989847	5278
biblio-989847	36448
biblio-989847	23631
biblio-989847	28564
biblio-989847	14042
biblio-989847	13721
biblio-989847	12527
biblio-989847	11254
biblio-989847	11594
biblio-989847	13336
biblio-989847	5278
biblio-989847	28448
biblio-989847	28455
biblio-975203	1963
biblio-975203	6916
biblio-975203	8901
biblio-975203	28468
biblio-975203	16771
biblio-975203	11756
biblio-975203	28564
biblio-975203	27786
biblio-975203	28448
biblio-984540	231
biblio-984540	8990
biblio-984540	13299
biblio-984540	29315
biblio-984540	29315
biblio-984540	29315
biblio-984540	13721
biblio-984540	6862
biblio-984540	12955
biblio-984540	231
biblio-984540	13721
biblio-984540	8741
biblio-984540	12527
biblio-984540	15329
biblio-984540	13104
biblio-978307	8264
biblio-978307	470
biblio-978307	14449
biblio-978307	14230
biblio-978307	12077
biblio-978307	12755
